#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ESRRA	PPARGC1A	4447169	4435507	9606.ENSP00000384851	9606.ENSP00000264867	0	0	0	0	0	0.988	0	0	0.988
NCOA1	CREBBP	4447214	4435065	9606.ENSP00000385216	9606.ENSP00000262367	0	0	0	0	0	0.979	0	0	0.979
NCOA2	PPARG	4448095	4436745	9606.ENSP00000399968	9606.ENSP00000287820	0	0	0	0	0	0.974	0	0	0.974
NCOA1	PPARG	4447214	4436745	9606.ENSP00000385216	9606.ENSP00000287820	0	0	0	0	0	0.974	0	0	0.974
PPARG	CREBBP	4436745	4435065	9606.ENSP00000287820	9606.ENSP00000262367	0	0	0	0	0	0.974	0	0	0.974
PPARG	PPARGC1A	4436745	4435507	9606.ENSP00000287820	9606.ENSP00000264867	0	0	0	0	0	0.974	0	0	0.974
RXRA	NCOA2	4449061	4448095	9606.ENSP00000419692	9606.ENSP00000399968	0	0	0	0	0	0.963	0	0	0.963
RXRA	NCOA1	4449061	4447214	9606.ENSP00000419692	9606.ENSP00000385216	0	0	0	0	0	0.962	0	0	0.962
RXRA	PPARG	4449061	4436745	9606.ENSP00000419692	9606.ENSP00000287820	0	0	0	0.694	0	0.961	0	0	0.961
RXRA	NCOR2	4449061	4447065	9606.ENSP00000419692	9606.ENSP00000384018	0	0	0	0	0	0.960	0	0	0.960
RXRA	CREBBP	4449061	4435065	9606.ENSP00000419692	9606.ENSP00000262367	0	0	0	0	0	0.884	0	0	0.884
NCOA1	ESRRG	4447214	4442769	9606.ENSP00000385216	9606.ENSP00000355904	0	0	0	0	0	0.876	0	0	0.876
NRIP1	ESRRG	4446985	4442769	9606.ENSP00000383063	9606.ENSP00000355904	0	0	0	0	0	0.866	0	0	0.866
NCOA1	EP300	4447214	4435224	9606.ENSP00000385216	9606.ENSP00000263253	0	0	0	0	0	0.862	0	0	0.862
PPARG	EP300	4436745	4435224	9606.ENSP00000287820	9606.ENSP00000263253	0	0	0	0	0	0.847	0	0	0.847
NCOA1	ESRRA	4447214	4447169	9606.ENSP00000385216	9606.ENSP00000384851	0	0	0	0	0	0.829	0	0	0.829
RXRA	NCOR1	4449061	4435844	9606.ENSP00000419692	9606.ENSP00000268712	0	0	0	0	0	0.825	0	0	0.825
NCOA1	RXRB	4447214	4444435	9606.ENSP00000385216	9606.ENSP00000363817	0	0	0	0	0	0.823	0	0	0.823
RXRG	PPARG	4442297	4436745	9606.ENSP00000352900	9606.ENSP00000287820	0	0	0	0.702	0	0.816	0	0	0.816
ESRRA	NRIP1	4447169	4446985	9606.ENSP00000384851	9606.ENSP00000383063	0	0	0	0	0	0.815	0	0	0.815
NCOR2	ESRRG	4447065	4442769	9606.ENSP00000384018	9606.ENSP00000355904	0	0	0	0	0	0.809	0	0	0.809
ESRRA	ESRRG	4447169	4442769	9606.ENSP00000384851	9606.ENSP00000355904	0	0	0	0.959	0	0.807	0	0	0.807
RXRB	PPARG	4444435	4436745	9606.ENSP00000363817	9606.ENSP00000287820	0	0	0	0.662	0	0.804	0	0	0.804
NCOR2	RXRG	4447065	4442297	9606.ENSP00000384018	9606.ENSP00000352900	0	0	0	0	0	0.749	0	0	0.749
ESRRG	NCOR1	4442769	4435844	9606.ENSP00000355904	9606.ENSP00000268712	0	0	0	0	0	0.735	0	0	0.735
NCOA2	RXRG	4448095	4442297	9606.ENSP00000399968	9606.ENSP00000352900	0	0	0	0	0	0.731	0	0	0.731
NCOA2	RXRB	4448095	4444435	9606.ENSP00000399968	9606.ENSP00000363817	0	0	0	0	0	0.731	0	0	0.731
ESRRA	NCOR2	4447169	4447065	9606.ENSP00000384851	9606.ENSP00000384018	0	0	0	0	0	0.730	0	0	0.730
RXRB	NCOR1	4444435	4435844	9606.ENSP00000363817	9606.ENSP00000268712	0	0	0	0	0	0.730	0	0	0.730
NCOR2	RXRB	4447065	4444435	9606.ENSP00000384018	9606.ENSP00000363817	0	0	0	0	0	0.730	0	0	0.730
RXRG	NCOR1	4442297	4435844	9606.ENSP00000352900	9606.ENSP00000268712	0	0	0	0	0	0.730	0	0	0.730
ESRRA	NCOR1	4447169	4435844	9606.ENSP00000384851	9606.ENSP00000268712	0	0	0	0	0	0.730	0	0	0.730
FAM9A	ESRRA	4449931	4447169	9606.ENSP00000440163	9606.ENSP00000384851	0	0	0	0	0	0.728	0	0	0.728
NCOA1	RXRG	4447214	4442297	9606.ENSP00000385216	9606.ENSP00000352900	0	0	0	0	0	0.727	0	0	0.727
