#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Pik3ca	Hras1	2097448	2096663	10090.ENSMUSP00000029201	10090.ENSMUSP00000026572	0	0	0	0	0.052	0.981	0.874	0.765	0.999
Kras	Pik3ca	2098474	2097448	10090.ENSMUSP00000032399	10090.ENSMUSP00000029201	0	0	0	0	0.052	0.981	0.874	0.763	0.999
Pik3r1	Pik3ca	2103300	2097448	10090.ENSMUSP00000056774	10090.ENSMUSP00000029201	0	0	0	0	0.065	0.897	0.950	0.693	0.998
Kras	Grb2	2098474	2095072	10090.ENSMUSP00000032399	10090.ENSMUSP00000021090	0	0	0	0	0.100	0.115	0.950	0.899	0.995
Hras1	Grb2	2096663	2095072	10090.ENSMUSP00000026572	10090.ENSMUSP00000021090	0	0	0	0	0.100	0.115	0.950	0.900	0.995
Pik3r1	Hras1	2103300	2096663	10090.ENSMUSP00000056774	10090.ENSMUSP00000026572	0	0	0	0	0.051	0.538	0.874	0.870	0.991
Pik3r1	Grb2	2103300	2095072	10090.ENSMUSP00000056774	10090.ENSMUSP00000021090	0	0	0	0	0	0.545	0.950	0.524	0.988
Pik3ca	Grb2	2097448	2095072	10090.ENSMUSP00000029201	10090.ENSMUSP00000021090	0	0	0	0	0.048	0.099	0.950	0.643	0.982
Pdgfb	Pdgfra	2093117	2093116	10090.ENSMUSP00000000500	10090.ENSMUSP00000000476	0	0	0	0	0	0.111	0.950	0.602	0.981
Pik3r1	Kras	2103300	2098474	10090.ENSMUSP00000056774	10090.ENSMUSP00000032399	0	0	0	0	0.051	0.048	0.874	0.856	0.981
Hras1	Pdgfb	2096663	2093117	10090.ENSMUSP00000026572	10090.ENSMUSP00000000500	0	0	0	0	0	0.104	0.937	0.676	0.980
Kras	Pdgfb	2098474	2093117	10090.ENSMUSP00000032399	10090.ENSMUSP00000000500	0	0	0	0	0	0.104	0.937	0.662	0.979
Pdgfa	Pdgfra	2106260	2093116	10090.ENSMUSP00000075463	10090.ENSMUSP00000000476	0	0	0	0	0	0.168	0.901	0.770	0.979
Pik3ca	Pdgfra	2097448	2093116	10090.ENSMUSP00000029201	10090.ENSMUSP00000000476	0	0	0	0	0.054	0.114	0.950	0.481	0.975
Pik3r1	Pdgfra	2103300	2093116	10090.ENSMUSP00000056774	10090.ENSMUSP00000000476	0	0	0	0	0	0.307	0.950	0.248	0.972
