Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
P10635	CP2D6_HUMAN	reviewed	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)	CYP2D6 CYP2DL1	Homo sapiens (Human)	497
P31749	AKT1_HUMAN	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	480
Q16678	CP1B1_HUMAN	reviewed	Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1)	CYP1B1	Homo sapiens (Human)	543
P05181	CP2E1_HUMAN	reviewed	Cytochrome P450 2E1 (EC 1.14.13.-) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J)	CYP2E1 CYP2E	Homo sapiens (Human)	493
P04798	CP1A1_HUMAN	reviewed	Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1)	CYP1A1	Homo sapiens (Human)	512
P51649	SSDH_HUMAN	reviewed	Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)	ALDH5A1 SSADH	Homo sapiens (Human)	535
P05177	CP1A2_HUMAN	reviewed	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3)	CYP1A2	Homo sapiens (Human)	516
Q7Z4W1	DCXR_HUMAN	reviewed	L-xylulose reductase (XR) (EC 1.1.1.10) (Carbonyl reductase II) (Dicarbonyl/L-xylulose reductase) (Kidney dicarbonyl reductase) (kiDCR) (Short chain dehydrogenase/reductase family 20C member 1) (Sperm surface protein P34H)	DCXR SDR20C1	Homo sapiens (Human)	244
Q8N9L9	ACOT4_HUMAN	reviewed	Acyl-coenzyme A thioesterase 4 (Acyl-CoA thioesterase 4) (EC 3.1.2.2) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib)	ACOT4 PTE2B PTEIB	Homo sapiens (Human)	421
