Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5K4E3	POLS2_HUMAN	reviewed	Polyserase-2 (EC 3.4.21.-) (Polyserine protease 2) (Serine protease 36)	PRSS36	Homo sapiens (Human)	855
Q01860	PO5F1_HUMAN	reviewed	POU domain, class 5, transcription factor 1 (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)	POU5F1 OCT3 OCT4 OTF3	Homo sapiens (Human)	360
P24666	PPAC_HUMAN	reviewed	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1)	ACP1	Homo sapiens (Human)	158
P11117	PPAL_HUMAN	reviewed	Lysosomal acid phosphatase (LAP) (EC 3.1.3.2)	ACP2	Homo sapiens (Human)	423
P15309	PPAP_HUMAN	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACPP	Homo sapiens (Human)	386
Q07869	PPARA_HUMAN	reviewed	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	PPARA NR1C1 PPAR	Homo sapiens (Human)	468
P37231	PPARG_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	Homo sapiens (Human)	505
P05187	PPB1_HUMAN	reviewed	Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1)	ALPP PLAP	Homo sapiens (Human)	535
Q9BZG2	PPAT_HUMAN	reviewed	Testicular acid phosphatase (EC 3.1.3.2) (Acid phosphatase 4)	ACP4 ACPT	Homo sapiens (Human)	426
Q08752	PPID_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)	PPID CYP40 CYPD	Homo sapiens (Human)	370
Q9Y3C6	PPIL1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1)	PPIL1 CYPL1 CGI-124 UNQ2425/PRO4984	Homo sapiens (Human)	166
Q13356	PPIL2_HUMAN	reviewed	RING-type E3 ubiquitin-protein ligase PPIL2 (EC 2.3.2.27) (CYC4) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60) (Cyp60) (hCyP-60) (Probable inactive peptidyl-prolyl cis-trans isomerase-like 2) (PPIase) (Rotamase PPIL2)	PPIL2	Homo sapiens (Human)	520
Q86UR5	RIMS1_HUMAN	reviewed	Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1) (Rab-3-interacting protein 2)	RIMS1 KIAA0340 RAB3IP2 RIM1 Nbla00761	Homo sapiens (Human)	1692
Q9UQK1	PPR3C_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)	PPP1R3C PPP1R5	Homo sapiens (Human)	317
