Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P54687	BCAT1_HUMAN	reviewed	Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42) (Protein ECA39)	BCAT1 BCT1 ECA39	Homo sapiens (Human)	386
O15382	BCAT2_HUMAN	reviewed	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)	BCAT2 BCATM BCT2 ECA40	Homo sapiens (Human)	392
Q9H2J7	S6A15_HUMAN	reviewed	Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3)	SLC6A15 B0AT2 NTT73 SBAT1	Homo sapiens (Human)	730
Q13825	AUHM_HUMAN	reviewed	Methylglutaconyl-CoA hydratase, mitochondrial (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding protein/enoyl-CoA hydratase) (Itaconyl-CoA hydratase) (EC 4.2.1.56)	AUH	Homo sapiens (Human)	339
Q9UKU7	ACAD8_HUMAN	reviewed	Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)	ACAD8 ARC42 IBD	Homo sapiens (Human)	415
Q6NVY1	HIBCH_HUMAN	reviewed	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)	HIBCH	Homo sapiens (Human)	386
Q8N3J5	PPM1K_HUMAN	reviewed	Protein phosphatase 1K, mitochondrial (EC 3.1.3.16) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C isoform kappa) (PP2C-kappa)	PPM1K PP2CM	Homo sapiens (Human)	372
P31937	3HIDH_HUMAN	reviewed	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336
P21953	ODBB_HUMAN	reviewed	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDE1B) (BCKDH E1-beta)	BCKDHB	Homo sapiens (Human)	392
P12694	ODBA_HUMAN	reviewed	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)	BCKDHA	Homo sapiens (Human)	445
O14874	BCKD_HUMAN	reviewed	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)	BCKDK	Homo sapiens (Human)	412
P11182	ODB2_HUMAN	reviewed	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	DBT BCATE2	Homo sapiens (Human)	482
Q99714	HCD2_HUMAN	reviewed	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2	Homo sapiens (Human)	261
