#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Fgfr1	Fgf2	2107270	2099857	10090.ENSMUSP00000081041	10090.ENSMUSP00000037694	0	0	0	0	0	0.814	0.950	0.921	0.999
Fgfr2	Fgf2	2112234	2099857	10090.ENSMUSP00000112430	10090.ENSMUSP00000037694	0	0	0	0	0	0.842	0.869	0.874	0.997
Mapk3	Hras1	2102406	2096663	10090.ENSMUSP00000051619	10090.ENSMUSP00000026572	0	0	0	0	0.128	0.289	0.915	0.953	0.997
Fgf2	Fgfr4	2099857	2093697	10090.ENSMUSP00000037694	10090.ENSMUSP00000005452	0	0	0	0	0.113	0.675	0.934	0.781	0.995
Hras1	Mapk1	2096663	2095837	10090.ENSMUSP00000026572	10090.ENSMUSP00000023462	0	0	0	0	0.085	0.289	0.915	0.914	0.994
Fgfr3	Fgf2	2114405	2099857	10090.ENSMUSP00000133064	10090.ENSMUSP00000037694	0	0	0	0	0	0.675	0.869	0.788	0.990
Mapk3	Fgf2	2102406	2099857	10090.ENSMUSP00000051619	10090.ENSMUSP00000037694	0	0	0	0	0	0.062	0.950	0.769	0.988
Fgf2	Sdc4	2099857	2094404	10090.ENSMUSP00000037694	10090.ENSMUSP00000017153	0	0	0	0	0	0.107	0.950	0.717	0.986
Kdr	Fgf2	2111815	2099857	10090.ENSMUSP00000109144	10090.ENSMUSP00000037694	0	0	0	0	0	0.242	0.821	0.907	0.986
Mapk3	Mapk1	2102406	2095837	10090.ENSMUSP00000051619	10090.ENSMUSP00000023462	0	0	0.527	0.987	0	0.678	0.950	0.979	0.983
Fgf2	Flt1	2099857	2098262	10090.ENSMUSP00000037694	10090.ENSMUSP00000031653	0	0	0	0	0	0.242	0.821	0.878	0.982
Fgf2	Mapk1	2099857	2095837	10090.ENSMUSP00000037694	10090.ENSMUSP00000023462	0	0	0	0	0	0.062	0.950	0.642	0.982
Fgfr1	Hras1	2107270	2096663	10090.ENSMUSP00000081041	10090.ENSMUSP00000026572	0	0	0	0	0.046	0.199	0.924	0.638	0.976
Fgf2	Hras1	2099857	2096663	10090.ENSMUSP00000037694	10090.ENSMUSP00000026572	0	0	0	0	0	0.104	0.900	0.755	0.976
Hras1	Fgfr4	2096663	2093697	10090.ENSMUSP00000026572	10090.ENSMUSP00000005452	0	0	0	0	0.046	0.199	0.924	0.451	0.964
Fgfr1	Mapk3	2107270	2102406	10090.ENSMUSP00000081041	10090.ENSMUSP00000051619	0	0	0	0.638	0.051	0.315	0.914	0.584	0.952
Mapk3	Fgfr4	2102406	2093697	10090.ENSMUSP00000051619	10090.ENSMUSP00000005452	0	0	0	0.635	0.051	0.315	0.914	0.451	0.949
Fgfr1	Mapk1	2107270	2095837	10090.ENSMUSP00000081041	10090.ENSMUSP00000023462	0	0	0	0.640	0.051	0.315	0.914	0.479	0.949
Mapk1	Fgfr4	2095837	2093697	10090.ENSMUSP00000023462	10090.ENSMUSP00000005452	0	0	0	0.636	0.051	0.315	0.914	0.321	0.946
Fgfr3	Hras1	2114405	2096663	10090.ENSMUSP00000133064	10090.ENSMUSP00000026572	0	0	0	0	0.046	0.199	0.849	0.497	0.934
