#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Pik3ca	Hras1	2097448	2096663	10090.ENSMUSP00000029201	10090.ENSMUSP00000026572	0	0	0	0	0.052	0.981	0.874	0.765	0.999
Shc1	Grb2	2108594	2095072	10090.ENSMUSP00000091940	10090.ENSMUSP00000021090	0	0	0	0	0.054	0.912	0.901	0.984	0.999
Pik3r1	Pik3ca	2103300	2097448	10090.ENSMUSP00000056774	10090.ENSMUSP00000029201	0	0	0	0	0.065	0.897	0.950	0.693	0.998
Irs1	Igf1r	2104432	2093723	10090.ENSMUSP00000063795	10090.ENSMUSP00000005671	0	0	0	0	0	0.733	0.883	0.875	0.995
Hras1	Grb2	2096663	2095072	10090.ENSMUSP00000026572	10090.ENSMUSP00000021090	0	0	0	0	0.100	0.115	0.950	0.900	0.995
Pik3r1	Irs2	2103300	2100009	10090.ENSMUSP00000056774	10090.ENSMUSP00000038514	0	0	0	0	0	0.679	0.950	0.653	0.994
Irs2	Grb2	2100009	2095072	10090.ENSMUSP00000038514	10090.ENSMUSP00000021090	0	0	0	0	0	0.328	0.936	0.862	0.993
Irs1	Pik3ca	2104432	2097448	10090.ENSMUSP00000063795	10090.ENSMUSP00000029201	0	0	0	0	0.053	0.423	0.941	0.809	0.993
Igf1	Igf1r	2103282	2093723	10090.ENSMUSP00000056668	10090.ENSMUSP00000005671	0	0	0	0	0	0.110	0.901	0.925	0.992
Pik3r1	Hras1	2103300	2096663	10090.ENSMUSP00000056774	10090.ENSMUSP00000026572	0	0	0	0	0.051	0.538	0.874	0.870	0.991
Irs2	Igf1r	2100009	2093723	10090.ENSMUSP00000038514	10090.ENSMUSP00000005671	0	0	0	0	0	0.577	0.901	0.813	0.991
Irs1	Grb2	2104432	2095072	10090.ENSMUSP00000063795	10090.ENSMUSP00000021090	0	0	0	0	0	0.302	0.883	0.904	0.991
Irs1	Pik3r1	2104432	2103300	10090.ENSMUSP00000063795	10090.ENSMUSP00000056774	0	0	0	0	0	0.679	0.941	0.552	0.990
Pik3r1	Grb2	2103300	2095072	10090.ENSMUSP00000056774	10090.ENSMUSP00000021090	0	0	0	0	0	0.545	0.950	0.524	0.988
Irs2	Pik3ca	2100009	2097448	10090.ENSMUSP00000038514	10090.ENSMUSP00000029201	0	0	0	0	0.053	0.423	0.950	0.629	0.988
Igf2	Igf1r	2112474	2093723	10090.ENSMUSP00000114076	10090.ENSMUSP00000005671	0	0	0	0	0	0.110	0.901	0.846	0.985
